method,t,asset_idx,asset,avg_concentration
actor_critic,37,0,AAPL,0.18857411178592662
actor_critic,37,1,MSFT,0.10240294711340191
actor_critic,37,2,DIS,0.04243607571696235
actor_critic,37,3,CMCSA,0.20106201661838585
actor_critic,37,4,AMZN,0.2448521393109036
actor_critic,37,5,HD,0.025401010553001965
actor_critic,37,6,KO,0.07408313056110467
actor_critic,37,7,JNJ,0.02839621537143989
actor_critic,37,8,JPM,0.024572630488976604
actor_critic,37,9,XOM,0.0682197224798967
actor_critic,38,0,AAPL,0.18903596719330157
actor_critic,38,1,MSFT,0.1021508802153253
actor_critic,38,2,DIS,0.042325922203866786
actor_critic,38,3,CMCSA,0.2009026260447636
actor_critic,38,4,AMZN,0.24562818085325952
actor_critic,38,5,HD,0.025361189143533594
actor_critic,38,6,KO,0.07379030591399767
actor_critic,38,7,JNJ,0.02829353227827536
actor_critic,38,8,JPM,0.024522178091994876
actor_critic,38,9,XOM,0.06798921806168183
actor_critic,39,0,AAPL,0.18961605061258432
actor_critic,39,1,MSFT,0.10192585843752522
actor_critic,39,2,DIS,0.04225239161386332
actor_critic,39,3,CMCSA,0.20052626420781808
actor_critic,39,4,AMZN,0.24626133155024849
actor_critic,39,5,HD,0.025314296424587136
actor_critic,39,6,KO,0.07360941978958889
actor_critic,39,7,JNJ,0.0282314013051745
actor_critic,39,8,JPM,0.02445871047499349
actor_critic,39,9,XOM,0.06780427558361651
actor_critic,40,0,AAPL,0.18998015198298737
actor_critic,40,1,MSFT,0.10175890736084105
actor_critic,40,2,DIS,0.042148847378140855
actor_critic,40,3,CMCSA,0.20033823690302532
actor_critic,40,4,AMZN,0.24698483071086816
actor_critic,40,5,HD,0.025278046154220316
actor_critic,40,6,KO,0.07333888046712471
actor_critic,40,7,JNJ,0.02817216497494291
actor_critic,40,8,JPM,0.024402842864576616
actor_critic,40,9,XOM,0.06759709120327267
actor_critic,41,0,AAPL,0.19045048209153087
actor_critic,41,1,MSFT,0.1016127970406728
actor_critic,41,2,DIS,0.04205586498560271
actor_critic,41,3,CMCSA,0.20007347828402391
actor_critic,41,4,AMZN,0.24744557817431279
actor_critic,41,5,HD,0.02525712788837928
actor_critic,41,6,KO,0.07317476971654643
actor_critic,41,7,JNJ,0.02811865824964013
actor_critic,41,8,JPM,0.024394545713445546
actor_critic,41,9,XOM,0.06741669785584554
actor_critic,42,0,AAPL,0.19095946529226568
actor_critic,42,1,MSFT,0.10146198862793226
actor_critic,42,2,DIS,0.04193869853295531
actor_critic,42,3,CMCSA,0.19988742452479893
actor_critic,42,4,AMZN,0.24792787983484837
actor_critic,42,5,HD,0.025247786318536213
actor_critic,42,6,KO,0.0729262247383432
actor_critic,42,7,JNJ,0.02807934400354194
actor_critic,42,8,JPM,0.02435286696269454
actor_critic,42,9,XOM,0.06721832116408355
actor_critic,43,0,AAPL,0.19132247794826385
actor_critic,43,1,MSFT,0.10131814945816653
actor_critic,43,2,DIS,0.0418245085591986
actor_critic,43,3,CMCSA,0.19976337991975818
actor_critic,43,4,AMZN,0.24852501106163868
actor_critic,43,5,HD,0.02522113432002006
actor_critic,43,6,KO,0.0726822476942783
actor_critic,43,7,JNJ,0.028014781418475587
actor_critic,43,8,JPM,0.024311598685935507
actor_critic,43,9,XOM,0.06701671093426471
actor_critic,44,0,AAPL,0.19156764927677072
actor_critic,44,1,MSFT,0.10111098890439643
actor_critic,44,2,DIS,0.04170013273716716
actor_critic,44,3,CMCSA,0.1995470073399385
actor_critic,44,4,AMZN,0.24949778751682655
actor_critic,44,5,HD,0.025195990355717856
actor_critic,44,6,KO,0.07240411084646767
actor_critic,44,7,JNJ,0.027937821536820995
actor_critic,44,8,JPM,0.024265737076414797
actor_critic,44,9,XOM,0.06677277440947929
actor_critic,45,0,AAPL,0.19181281667254374
actor_critic,45,1,MSFT,0.10083336293379043
actor_critic,45,2,DIS,0.04162180118462015
actor_critic,45,3,CMCSA,0.19933861498646022
actor_critic,45,4,AMZN,0.25043591595956216
actor_critic,45,5,HD,0.025156329924333563
actor_critic,45,6,KO,0.07214243722001151
actor_critic,45,7,JNJ,0.027873534260661303
actor_critic,45,8,JPM,0.024216703845749074
actor_critic,45,9,XOM,0.06656848301226805
actor_critic,46,0,AAPL,0.19208331236593826
actor_critic,46,1,MSFT,0.10069083137936517
actor_critic,46,2,DIS,0.04152762645619299
actor_critic,46,3,CMCSA,0.19920726687012705
actor_critic,46,4,AMZN,0.25101487958279667
actor_critic,46,5,HD,0.025149528922883562
actor_critic,46,6,KO,0.07194839107345745
actor_critic,46,7,JNJ,0.027811111979818077
actor_critic,46,8,JPM,0.024171432625563042
actor_critic,46,9,XOM,0.06639561874385752
actor_critic,47,0,AAPL,0.19234875033623708
actor_critic,47,1,MSFT,0.10054346644791323
actor_critic,47,2,DIS,0.041432333206765364
actor_critic,47,3,CMCSA,0.1990175131010821
actor_critic,47,4,AMZN,0.25171840263998985
actor_critic,47,5,HD,0.02511511027763329
actor_critic,47,6,KO,0.07174125010318824
actor_critic,47,7,JNJ,0.027756341305039286
actor_critic,47,8,JPM,0.024121921060739085
actor_critic,47,9,XOM,0.06620491152141252
actor_critic,48,0,AAPL,0.1925514321134211
actor_critic,48,1,MSFT,0.10046022256774687
actor_critic,48,2,DIS,0.041329283181487646
actor_critic,48,3,CMCSA,0.19888877717242479
actor_critic,48,4,AMZN,0.25236254017400855
actor_critic,48,5,HD,0.025091922567887007
actor_critic,48,6,KO,0.0715257125733715
actor_critic,48,7,JNJ,0.027699052270072858
actor_critic,48,8,JPM,0.02408609345690699
actor_critic,48,9,XOM,0.06600496392267288
actor_critic,49,0,AAPL,0.19298007546559012
actor_critic,49,1,MSFT,0.10025263821189019
actor_critic,49,2,DIS,0.041248437950148625
actor_critic,49,3,CMCSA,0.19861820573934202
actor_critic,49,4,AMZN,0.2530200198625632
actor_critic,49,5,HD,0.025066983031649847
actor_critic,49,6,KO,0.07131963928063124
actor_critic,49,7,JNJ,0.02764474935181444
actor_critic,49,8,JPM,0.02404684228914479
actor_critic,49,9,XOM,0.06580240881722554
actor_critic,50,0,AAPL,0.19351268954706352
actor_critic,50,1,MSFT,0.09999932749521111
actor_critic,50,2,DIS,0.04112662508414236
actor_critic,50,3,CMCSA,0.1982147824839538
actor_critic,50,4,AMZN,0.254006785789445
actor_critic,50,5,HD,0.02503065704882202
actor_critic,50,6,KO,0.07101481397880055
actor_critic,50,7,JNJ,0.027567633512706885
actor_critic,50,8,JPM,0.023978689898366507
actor_critic,50,9,XOM,0.06554799516148824
belief_aware_actor_critic,1,0,AAPL,0.1725902576093846
belief_aware_actor_critic,1,1,MSFT,0.1618314963369329
belief_aware_actor_critic,1,2,DIS,0.17861049360152217
belief_aware_actor_critic,1,3,CMCSA,0.008076743768861026
belief_aware_actor_critic,1,4,AMZN,0.17942017990449946
belief_aware_actor_critic,1,5,HD,0.015491158022947425
belief_aware_actor_critic,1,6,KO,0.023739030050960154
belief_aware_actor_critic,1,7,JNJ,0.0987048748903637
belief_aware_actor_critic,1,8,JPM,0.09630312810629643
belief_aware_actor_critic,1,9,XOM,0.06523263770823214
belief_aware_actor_critic,2,0,AAPL,0.17268869178979593
belief_aware_actor_critic,2,1,MSFT,0.16160690593110674
belief_aware_actor_critic,2,2,DIS,0.17810060173960518
belief_aware_actor_critic,2,3,CMCSA,0.008287152802316467
belief_aware_actor_critic,2,4,AMZN,0.17966576986729332
belief_aware_actor_critic,2,5,HD,0.01585821219112477
belief_aware_actor_critic,2,6,KO,0.023918867153782195
belief_aware_actor_critic,2,7,JNJ,0.09850562182724472
belief_aware_actor_critic,2,8,JPM,0.09611771525624853
belief_aware_actor_critic,2,9,XOM,0.06525046144148233
belief_aware_actor_critic,3,0,AAPL,0.17286718800566028
belief_aware_actor_critic,3,1,MSFT,0.16145550108949117
belief_aware_actor_critic,3,2,DIS,0.17759786655522328
belief_aware_actor_critic,3,3,CMCSA,0.008458466734409524
belief_aware_actor_critic,3,4,AMZN,0.1799402249797165
belief_aware_actor_critic,3,5,HD,0.01613475824987448
belief_aware_actor_critic,3,6,KO,0.024035295644485397
belief_aware_actor_critic,3,7,JNJ,0.09828475661362789
belief_aware_actor_critic,3,8,JPM,0.096011532934551
belief_aware_actor_critic,3,9,XOM,0.0652144091929605
belief_aware_actor_critic,4,0,AAPL,0.17308212622838676
belief_aware_actor_critic,4,1,MSFT,0.16129099196272662
belief_aware_actor_critic,4,2,DIS,0.17705262385702855
belief_aware_actor_critic,4,3,CMCSA,0.008593797435080918
belief_aware_actor_critic,4,4,AMZN,0.18057462766781923
belief_aware_actor_critic,4,5,HD,0.016360049329714594
belief_aware_actor_critic,4,6,KO,0.02409608118154954
belief_aware_actor_critic,4,7,JNJ,0.0980378924157605
belief_aware_actor_critic,4,8,JPM,0.09578349584763475
