index,method,t,avg_exposure_hhi,std_exposure_hhi
218,vanilla_pg,14,0.13179610101544284,0.0058394111507076825
219,vanilla_pg,15,0.13208491663864505,0.00610793875863585
220,vanilla_pg,16,0.13241553102084636,0.006414233306350524
221,vanilla_pg,17,0.13275611719555674,0.006803842176789953
222,vanilla_pg,18,0.13306027257477154,0.007179878252943364
223,vanilla_pg,19,0.13338013466714058,0.007504716669040941
224,vanilla_pg,20,0.1337191014622352,0.007896902251717684
225,vanilla_pg,21,0.1340262257067372,0.00834244054573848
226,vanilla_pg,22,0.1343589922020247,0.008692374408553997
227,vanilla_pg,23,0.13470889349428886,0.009041629036555992
228,vanilla_pg,24,0.13504310828251015,0.009390180096382324
229,vanilla_pg,25,0.13537555581382898,0.009659956859744169
230,vanilla_pg,26,0.1357338648492553,0.00997563386918671
231,vanilla_pg,27,0.13607198720750102,0.010499196422927614
232,vanilla_pg,28,0.136373572514816,0.010785957341375722
233,vanilla_pg,29,0.13677138535664018,0.011197586386527365
234,vanilla_pg,30,0.13711991364665688,0.011781043963735659
235,vanilla_pg,31,0.13744309644040387,0.01227465457094462
236,vanilla_pg,32,0.1378290280001485,0.012563594440756224
237,vanilla_pg,33,0.1382031740072819,0.013059754531376718
238,vanilla_pg,34,0.13860507563400698,0.014071533673110105
239,vanilla_pg,35,0.1389964764171421,0.014379755438469283
240,vanilla_pg,36,0.13939775993656187,0.015099059832858577
241,vanilla_pg,37,0.13977158235509893,0.015554598206058727
242,vanilla_pg,38,0.14011279786958233,0.015931774903609072
243,vanilla_pg,39,0.140493562308993,0.01643381117012728
244,vanilla_pg,40,0.14091517990502142,0.016841309885253133
245,vanilla_pg,41,0.14140690176914045,0.017584542222083936
246,vanilla_pg,42,0.141760955161281,0.017890303573011107
247,vanilla_pg,43,0.14213002099738947,0.018002442186419196
248,vanilla_pg,44,0.14254925461126583,0.018674496865465504
249,vanilla_pg,45,0.1429948896437102,0.0190235617693601
250,vanilla_pg,46,0.1433321120549774,0.019390144765151333
251,vanilla_pg,47,0.14371012843453687,0.019860254207037787
252,vanilla_pg,48,0.14421887675244474,0.020125885334654998
253,vanilla_pg,49,0.14459801927652358,0.02068904149896964
254,vanilla_pg,50,0.14505469350337297,0.021158966136827075
